channels,cnn_layers,fc_layers,param_count,rmse,train_time_s
32,3,5,24195,0.0137939,334.49
32,3,4,23139,0.0214055,333.43
32,3,6,25251,0.0266353,339.33
32,3,7,26307,0.0161183,340.20
32,3,8,27363,0.0184771,340.99
32,4,1,29219,0.017782,461.96
32,4,2,30275,0.0167885,464.51
32,4,3,31331,0.0108426,465.81
32,4,4,32387,0.0146241,468.18
32,4,5,33443,0.019513,469.21
32,4,6,34499,0.0156981,472.46
32,4,7,35555,0.0238034,473.47
32,4,8,36611,0.0123517,477.49
32,5,1,38467,0.0127523,604.17
32,5,2,39523,0.0156304,605.11
32,5,3,40579,0.0109868,608.34
32,5,4,41635,0.025303,611.81
32,5,5,42691,0.0223223,612.53
32,5,6,43747,0.0119579,614.97
32,5,7,44803,0.0113589,616.33
32,5,8,45859,0.0102185,620.90
32,6,2,48771,0.0160971,754.49
32,6,1,47715,0.015135,752.72
32,6,4,50883,0.0129646,759.03
32,6,3,49827,0.0143734,758.92
32,6,6,52995,0.014109,762.87
32,6,5,51939,0.0185232,763.19
32,6,7,54051,0.0112201,763.76
32,6,8,55107,0.0111622,767.54
32,7,1,56963,0.0129833,911.56
32,7,3,59075,0.0205491,916.66
32,7,4,60131,0.0166316,918.85
32,7,2,58019,0.0120186,918.43
32,7,5,61187,0.0109705,921.75
32,7,6,62243,0.0298591,923.84
32,7,8,64355,0.0116669,924.87
32,7,7,63299,0.0169283,926.13
64,1,1,4995,0.0676348,145.59
64,1,2,9155,0.0928785,148.36
64,1,3,13315,0.06213,149.63
64,1,4,17475,0.0697181,152.29
32,8,1,66211,0.0127525,1069.30
32,8,2,67267,0.0150961,1074.67
64,1,5,21635,0.0775144,153.73
64,1,6,25795,0.0603618,155.90
64,1,7,29955,0.0630398,158.43
64,1,8,34115,0.0982113,160.05
32,8,3,68323,0.0144883,1075.37
32,8,5,70435,0.0114187,1082.32
32,8,6,71491,0.011025,1082.63
32,8,4,69379,0.0156834,1082.33
32,8,7,72547,0.010298,1084.78
32,8,8,73603,0.0110398,1087.15
64,2,1,41923,0.0354787,443.26
64,2,2,46083,0.0335509,445.65
64,2,3,50243,0.0318171,448.26
64,2,4,54403,0.0531463,449.68
64,2,5,58563,0.0470561,452.02
64,2,6,62723,0.031682,454.56
64,2,7,66883,0.0493427,456.62
64,2,8,71043,0.0354517,457.92
64,3,1,78851,0.0262746,755.59
64,3,2,83011,0.0313016,757.48
64,3,3,87171,0.0141558,758.78
64,3,4,91331,0.0167284,761.48
64,3,5,95491,0.0162196,765.21
64,3,7,103811,0.0136691,765.83
64,3,8,107971,0.0296245,770.42
64,3,6,99651,0.0165975,766.55
64,4,1,115779,0.0174289,1078.09
64,4,2,119939,0.0118192,1079.27
64,4,3,124099,0.0198907,1081.38
64,4,4,128259,0.0124128,1083.44
64,4,5,132419,0.0166127,1084.83
64,4,6,136579,0.011089,1087.82
64,4,8,144899,0.0107309,1090.54
64,4,7,140739,0.010265,1090.99
64,5,1,152707,0.0276117,1416.85
64,5,2,156867,0.0121923,1417.22
64,5,3,161027,0.0154691,1421.22
64,5,4,165187,0.0096532,1421.66
64,5,5,169347,0.0105017,1425.71
64,5,6,173507,0.0147099,1427.72
64,5,7,177667,0.0156168,1427.21
64,5,8,181827,0.00933183,1429.08
64,6,1,189635,0.0268748,1766.92
64,6,2,193795,0.0175215,1771.46
64,6,4,202115,0.0133387,1772.70
64,6,3,197955,0.0108713,1772.19
64,6,6,210435,0.0150565,1777.85
64,6,5,206275,0.0105659,1778.43
64,6,7,214595,0.0107475,1779.44
64,6,8,218755,0.0135089,1782.21
64,7,2,230723,0.0225572,2137.05
64,7,1,226563,0.0189122,2137.77
64,7,3,234883,0.0147305,2137.81
64,7,4,239043,0.0160536,2141.00
64,7,6,247363,0.0150227,2144.46
64,7,5,243203,0.0137637,2143.89
64,7,8,255683,0.0194605,2149.06
64,7,7,251523,0.011661,2150.03
64,8,1,263491,0.0129566,2496.28
64,8,2,267651,0.0159885,2500.88
64,8,4,275971,0.010642,2501.28
64,8,3,271811,0.0128839,2502.37
64,8,5,280131,0.0103006,2502.58
64,8,6,284291,0.0148819,2505.71
64,8,8,292611,0.0127664,2508.69
64,8,7,288451,0.0107637,2508.75
